trigger,population,tier_bucket,notional_sol,cost_floor_pct,cost_floor_from_tier,cost_floor_exact,fired_holdout,selectivity_holdout,arrivals_per_day,n_holdout,n_fit,censored_holdout,utc_days_holdout,gross_mean_holdout,gross_mean_fit,sd_holdout,net_mean_holdout,cv_net,required_n,days,decidable_point,holdout_lower,holdout_upper,net_lower_bound,decidable_holdout,censored_fraction,carry_forward_marked,no_mark_at_all,n_carry_forward,carry_forward_mean,net_carry_forward_mean,carry_forward_lower,carry_forward_upper,net_carry_forward_lower,n_residual_zero,residual_zero_mean,net_residual_zero_mean,residual_zero_lower,residual_zero_upper,net_residual_zero_lower,correction_agrees_in_sign
T0,migrated-at-entry,tier0,0.01,2.6693,0,true,69,0.8214285714285714,64.89285714285714,6,11,63,2,-0.5880264970269714,-0.6060206900729853,0.29587761027490345,-0.6147194970269714,0.4813213371397614,300,5,false,-0.591462386850462,-0.570847047909518,-0.618155386850462,false,0.9130434782608695,0,63,6,-0.5880264970269714,-0.6147194970269714,-0.591462386850462,-0.570847047909518,-0.618155386850462,69,-0.9641762171327801,-0.9908692171327801,-0.990670587998033,-0.9111874754022743,-1.017363587998033,true
T0,migrated-at-entry,tier0,0.02,2.6878,0,true,69,0.8214285714285714,64.89285714285714,6,11,63,2,-0.5880264970269714,-0.6060206900729853,0.29587761027490345,-0.6149044970269714,0.48117652693297097,300,5,false,-0.591462386850462,-0.570847047909518,-0.618340386850462,false,0.9130434782608695,0,63,6,-0.5880264970269714,-0.6149044970269714,-0.591462386850462,-0.570847047909518,-0.618340386850462,69,-0.9641762171327801,-0.9910542171327801,-0.990670587998033,-0.9111874754022743,-1.017548587998033,true
T0,migrated-at-entry,tier0,0.05,2.8879,0,true,69,0.8214285714285714,64.89285714285714,6,11,63,2,-0.5880264970269714,-0.6060206900729853,0.29587761027490345,-0.6169054970269714,0.4796157785930177,300,5,false,-0.591462386850462,-0.570847047909518,-0.620341386850462,false,0.9130434782608695,0,63,6,-0.5880264970269714,-0.6169054970269714,-0.591462386850462,-0.570847047909518,-0.620341386850462,69,-0.9641762171327801,-0.9930552171327801,-0.990670587998033,-0.9111874754022743,-1.019549587998033,true
T0,migrated-at-entry,tier0,0.1,3.2673,0,true,69,0.8214285714285714,64.89285714285714,6,11,63,2,-0.5880264970269714,-0.6060206900729853,0.29587761027490345,-0.6206994970269714,0.47668414698593936,300,5,false,-0.591462386850462,-0.570847047909518,-0.624135386850462,false,0.9130434782608695,0,63,6,-0.5880264970269714,-0.6206994970269714,-0.591462386850462,-0.570847047909518,-0.624135386850462,69,-0.9641762171327801,-0.9968492171327801,-0.990670587998033,-0.9111874754022743,-1.023343587998033,true
T0,migrated-at-entry,tier0,0.2,4.0347,0,true,69,0.8214285714285714,64.89285714285714,6,11,63,2,-0.5880264970269714,-0.6060206900729853,0.29587761027490345,-0.6283734970269714,0.4708626504376642,300,5,false,-0.591462386850462,-0.570847047909518,-0.6318093868504621,false,0.9130434782608695,0,63,6,-0.5880264970269714,-0.6283734970269714,-0.591462386850462,-0.570847047909518,-0.6318093868504621,69,-0.9641762171327801,-1.00452321713278,-0.990670587998033,-0.9111874754022743,-1.031017587998033,true
T0,migrated-at-entry,tier0,0.35,5.1695,0,true,69,0.8214285714285714,64.89285714285714,6,11,63,2,-0.5880264970269714,-0.6060206900729853,0.29587761027490345,-0.6397214970269715,0.46251003233431887,300,5,false,-0.591462386850462,-0.570847047909518,-0.6431573868504621,false,0.9130434782608695,0,63,6,-0.5880264970269714,-0.6397214970269715,-0.591462386850462,-0.570847047909518,-0.6431573868504621,69,-0.9641762171327801,-1.0158712171327802,-0.990670587998033,-0.9111874754022743,-1.042365587998033,true
T0,migrated-at-entry,tier0,0.5,6.2779,0,true,69,0.8214285714285714,64.89285714285714,6,11,63,2,-0.5880264970269714,-0.6060206900729853,0.29587761027490345,-0.6508054970269714,0.454632930463157,300,5,false,-0.591462386850462,-0.570847047909518,-0.6542413868504621,false,0.9130434782608695,0,63,6,-0.5880264970269714,-0.6508054970269714,-0.591462386850462,-0.570847047909518,-0.6542413868504621,69,-0.9641762171327801,-1.02695521713278,-0.990670587998033,-0.9111874754022743,-1.053449587998033,true
T0,migrated-at-entry,tier0,1,9.7614,0,true,69,0.8214285714285714,64.89285714285714,6,11,63,2,-0.5880264970269714,-0.6060206900729853,0.29587761027490345,-0.6856404970269714,0.4315346184448967,300,5,false,-0.591462386850462,-0.570847047909518,-0.689076386850462,false,0.9130434782608695,0,63,6,-0.5880264970269714,-0.6856404970269714,-0.591462386850462,-0.570847047909518,-0.689076386850462,69,-0.9641762171327801,-1.0617902171327802,-0.990670587998033,-0.9111874754022743,-1.088284587998033,true
T0,migrated-at-entry,tier1,0.005,2.6227,1,true,9,0.10714285714285714,8.464285714285714,1,4,8,1,-0.9447315661240866,-0.9076907523900657,,-0.9709585661240866,,,,false,,,,false,0.8888888888888888,1,7,2,-0.47426163441083846,-0.5004886344108385,,,,9,-0.9938590629026763,-1.0200860629026764,,,,true
T0,migrated-at-entry,tier1,0.01,2.5108,1,true,9,0.10714285714285714,8.464285714285714,1,4,8,1,-0.9447315661240866,-0.9076907523900657,,-0.9698395661240866,,,,false,,,,false,0.8888888888888888,1,7,2,-0.47426163441083846,-0.4993696344108385,,,,9,-0.9938590629026763,-1.0189670629026764,,,,true
